ICAO,PHASE,STND,RWY,N,VALID,REF_20,ID,OBSERVED
EDDM,ARR,248,26L,587,587,6,ARR-248-26L,2019
EDDM,ARR,248,26R,889,889,3,ARR-248-26R,2019
EDDM,ARR,249,08L,359,359,4,ARR-249-08L,2019
EDDM,ARR,249,08R,265,265,4,ARR-249-08R,2019
EDDM,ARR,249,26L,335,335,6,ARR-249-26L,2019
EDDM,ARR,249,26R,722,722,4,ARR-249-26R,2019
EDDM,ARR,250,08L,286,286,5,ARR-250-08L,2019
EDDM,ARR,250,08R,235,235,4,ARR-250-08R,2019
EDDM,ARR,250,26L,387,387,6,ARR-250-26L,2019
EDDM,ARR,250,26R,509,509,4,ARR-250-26R,2019
EDDM,ARR,251,08L,243,243,5,ARR-251-08L,2019
EDDM,ARR,251,08R,319,319,5,ARR-251-08R,2019
EDDM,ARR,251,26L,536,536,7,ARR-251-26L,2019
EDDM,ARR,251,26R,425,425,4,ARR-251-26R,2019
EDDM,ARR,252,08L,196,196,4,ARR-252-08L,2019
EDDM,ARR,252,08R,207,207,4,ARR-252-08R,2019
EDDM,ARR,252,26L,319,319,5,ARR-252-26L,2019
EDDM,ARR,252,26R,370,370,4,ARR-252-26R,2019
EDDM,ARR,253,08L,342,342,4,ARR-253-08L,2019
EDDM,ARR,253,08R,310,310,4,ARR-253-08R,2019
EDDM,ARR,253,26L,443,443,5,ARR-253-26L,2019
EDDM,ARR,253,26R,636,636,4,ARR-253-26R,2019
EDDM,ARR,254,08L,158,158,4,ARR-254-08L,2019
EDDM,ARR,254,08R,171,171,4,ARR-254-08R,2019
EDDM,ARR,254,26L,248,248,5,ARR-254-26L,2019
EDDM,ARR,254,26R,280,280,4,ARR-254-26R,2019
EDDM,ARR,255,08L,296,296,4,ARR-255-08L,2019
EDDM,ARR,255,08R,344,344,4,ARR-255-08R,2019
EDDM,ARR,255,26L,430,430,5,ARR-255-26L,2019
EDDM,ARR,255,26R,618,618,4,ARR-255-26R,2019
EDDM,ARR,256,08L,125,125,4,ARR-256-08L,2019
EDDM,ARR,256,08R,222,222,3.200000000000003,ARR-256-08R,2019
EDDM,ARR,256,26L,296,296,5,ARR-256-26L,2019
EDDM,ARR,256,26R,300,300,4,ARR-256-26R,2019
EDDM,ARR,261,08L,60,60,4,ARR-261-08L,2019
EDDM,ARR,261,08R,47,47,3,ARR-261-08R,2019
EDDM,ARR,261,26L,105,105,4,ARR-261-26L,2019
EDDM,ARR,261,26R,90,90,4,ARR-261-26R,2019
EDDM,ARR,262,08L,30,30,6,ARR-262-08L,2019
EDDM,ARR,262,26R,47,47,6,ARR-262-26R,2019
EDDM,ARR,263,08L,65,65,4,ARR-263-08L,2019
EDDM,ARR,263,08R,71,71,3,ARR-263-08R,2019
EDDM,ARR,263,26L,99,99,4,ARR-263-26L,2019
EDDM,ARR,263,26R,128,128,4,ARR-263-26R,2019
EDDM,ARR,301,08L,1079,1079,4,ARR-301-08L,2019
EDDM,ARR,301,08R,726,726,6,ARR-301-08R,2019
EDDM,ARR,301,26L,1013,1013,7,ARR-301-26L,2019
EDDM,ARR,301,26R,1960,1960,4,ARR-301-26R,2019
EDDM,ARR,302,08L,1017,1017,4,ARR-302-08L,2019
EDDM,ARR,302,08R,831,831,6,ARR-302-08R,2019
EDDM,ARR,302,26L,1195,1195,7,ARR-302-26L,2019
EDDM,ARR,302,26R,1853,1853,4,ARR-302-26R,2019
EDDM,ARR,308,08L,454,454,4,ARR-308-08L,2019
EDDM,ARR,308,08R,507,507,6,ARR-308-08R,2019
EDDM,ARR,308,26L,730,730,7,ARR-308-26L,2019
EDDM,ARR,308,26R,801,801,4,ARR-308-26R,2019
EDDM,ARR,309,08L,442,442,5,ARR-309-08L,2019
EDDM,ARR,309,08R,520,520,6,ARR-309-08R,2019
EDDM,ARR,309,26L,751,751,7,ARR-309-26L,2019
EDDM,ARR,309,26R,808,808,4,ARR-309-26R,2019
EDDM,ARR,310,08L,197,197,5,ARR-310-08L,2019
EDDM,ARR,310,08R,253,253,5,ARR-310-08R,2019
EDDM,ARR,310,26L,473,473,7,ARR-310-26L,2019
EDDM,ARR,310,26R,387,387,4,ARR-310-26R,2019
EDDM,ARR,311,08L,168,168,5,ARR-311-08L,2019
EDDM,ARR,311,08R,274,274,5,ARR-311-08R,2019
EDDM,ARR,311,26L,466,466,6,ARR-311-26L,2019
EDDM,ARR,311,26R,374,374,4,ARR-311-26R,2019
EDDM,ARR,312,08L,340,340,5,ARR-312-08L,2019
EDDM,ARR,312,08R,577,577,5,ARR-312-08R,2019
EDDM,ARR,312,26L,891,891,6,ARR-312-26L,2019
EDDM,ARR,312,26R,649,649,5,ARR-312-26R,2019
EDDM,ARR,313,08L,341,341,5,ARR-313-08L,2019
EDDM,ARR,313,08R,536,536,5,ARR-313-08R,2019
EDDM,ARR,313,26L,797,797,6,ARR-313-26L,2019
EDDM,ARR,313,26R,703,703,5,ARR-313-26R,2019
EDDM,ARR,317,08L,245,245,6,ARR-317-08L,2019
EDDM,ARR,317,08R,410,410,5,ARR-317-08R,2019
EDDM,ARR,317,26L,566,566,6,ARR-317-26L,2019
EDDM,ARR,317,26R,609,609,6,ARR-317-26R,2019
EDDM,ARR,318,08L,218,218,6,ARR-318-08L,2019
EDDM,ARR,318,08R,382,382,5,ARR-318-08R,2019
EDDM,ARR,318,26L,505,505,6,ARR-318-26L,2019
EDDM,ARR,318,26R,560,560,6,ARR-318-26R,2019
EDDM,ARR,321,08L,239,239,4,ARR-321-08L,2019
EDDM,ARR,321,08R,120,120,5,ARR-321-08R,2019
EDDM,ARR,321,26L,174,174,6,ARR-321-26L,2019
EDDM,ARR,321,26R,408,408,4,ARR-321-26R,2019
EDDM,ARR,322,08L,235,235,4,ARR-322-08L,2019
EDDM,ARR,322,08R,185,185,5,ARR-322-08R,2019
EDDM,ARR,322,26L,229,229,6,ARR-322-26L,2019
EDDM,ARR,322,26R,398,398,4,ARR-322-26R,2019
EDDM,ARR,323,08L,485,485,4,ARR-323-08L,2019
EDDM,ARR,323,08R,257,257,5,ARR-323-08R,2019
EDDM,ARR,323,26L,426,426,6,ARR-323-26L,2019
EDDM,ARR,323,26R,855,855,4,ARR-323-26R,2019
EDDM,ARR,324,08L,72,72,4,ARR-324-08L,2019
EDDM,ARR,324,08R,51,51,5,ARR-324-08R,2019
EDDM,ARR,324,26L,70,70,6,ARR-324-26L,2019
EDDM,ARR,324,26R,110,110,4,ARR-324-26R,2019
EDDM,ARR,325,08L,374,374,5,ARR-325-08L,2019
EDDM,ARR,325,08R,356,356,5,ARR-325-08R,2019
EDDM,ARR,325,26L,575,575,6,ARR-325-26L,2019
EDDM,ARR,325,26R,735,735,5,ARR-325-26R,2019
EDDM,ARR,327,08L,88,88,5,ARR-327-08L,2019
EDDM,ARR,327,08R,145,145,5,ARR-327-08R,2019
EDDM,ARR,327,26L,208,208,6,ARR-327-26L,2019
EDDM,ARR,327,26R,153,153,5,ARR-327-26R,2019
EDDM,ARR,328,08L,119,119,5,ARR-328-08L,2019
EDDM,ARR,328,08R,220,220,5,ARR-328-08R,2019
EDDM,ARR,328,26L,316,316,6,ARR-328-26L,2019
EDDM,ARR,328,26R,266,266,5,ARR-328-26R,2019
EDDM,ARR,329,08L,154,154,5,ARR-329-08L,2019
EDDM,ARR,329,08R,263,263,5,ARR-329-08R,2019
EDDM,ARR,329,26L,361,361,6,ARR-329-26L,2019
EDDM,ARR,329,26R,319,319,5,ARR-329-26R,2019
EDDM,ARR,330,08L,135,135,5,ARR-330-08L,2019
EDDM,ARR,330,08R,285,285,4,ARR-330-08R,2019
EDDM,ARR,330,26L,427,427,6,ARR-330-26L,2019
EDDM,ARR,330,26R,294,294,5,ARR-330-26R,2019
EDDM,ARR,331,08L,151,151,5,ARR-331-08L,2019
EDDM,ARR,331,08R,263,263,4,ARR-331-08R,2019
EDDM,ARR,331,26L,437,437,5,ARR-331-26L,2019
EDDM,ARR,331,26R,253,253,5,ARR-331-26R,2019
EDDM,ARR,332,08L,154,154,4,ARR-332-08L,2019
EDDM,ARR,332,08R,293,293,4,ARR-332-08R,2019
EDDM,ARR,332,26L,416,416,5,ARR-332-26L,2019
EDDM,ARR,332,26R,267,267,5,ARR-332-26R,2019
EDDM,ARR,341,08L,335,335,4,ARR-341-08L,2019
EDDM,ARR,341,08R,550,550,4,ARR-341-08R,2019
